(initramfs) cat /dfs/dynamic_debug/control
# filename:lineno [module]function flags format
init/main.c:792 [main]initcall_blacklist =p "blacklisting initcall %s\012"
init/main.c:831 [main]initcall_blacklisted =p "initcall %s blacklisted\012"
init/initramfs.c:477 [initramfs]unpack_to_rootfs =_ "Detected %s compressed data\012"
arch/x86/events/amd/ibs.c:874 [ibs]force_ibs_eilvt_setup =_ "No EILVT entry available\012"
arch/x86/events/amd/ibs.c:839 [ibs]setup_ibs_ctl =_ "Failed to setup IBS LVT offset, IBSCTL = 0x%"
arch/x86/events/amd/ibs.c:845 [ibs]setup_ibs_ctl =_ "No CPU node configured for IBS\012"
arch/x86/events/intel/pt.c:719 [pt]pt_topa_dump =_ "# table @%p (%016Lx), off %llx size %zx\012"
arch/x86/events/intel/pt.c:728 [pt]pt_topa_dump =_ "# entry @%p (%lx sz %u %c%c%c) raw=%16llx\012"
arch/x86/kernel/cpu/common.c:1721 [common]cpu_init =_ "Initializing CPU#%d\012"
arch/x86/kernel/cpu/amd.c:506 [amd]bsp_init_amd =_ "tseg: %010llx\012"
arch/x86/kernel/cpu/hygon.c:217 [hygon]bsp_init_hygon =_ "tseg: %010llx\012"
arch/x86/kernel/cpu/mce/therm_throt.c:461 [therm_throt]intel_init_thermal =_ "CPU%d: Thermal moni"
arch/x86/kernel/cpu/mtrr/mtrr.c:503 [mtrr]mtrr_del_page =p "no MTRR for %lx000,%lx000 found\012"
arch/x86/kernel/cpu/mtrr/mtrr.c:411 [mtrr]mtrr_check =p "size: 0x%lx  base: 0x%lx\012"
arch/x86/kernel/cpu/mtrr/generic.c:409 [generic]print_mtrr_state =p "MTRR default type: %s\012"
arch/x86/kernel/cpu/mtrr/generic.c:414 [generic]print_mtrr_state =p "MTRR fixed ranges %sabled:\0"
arch/x86/kernel/cpu/mtrr/generic.c:427 [generic]print_mtrr_state =p "MTRR variable ranges %sabled"
arch/x86/kernel/cpu/mtrr/generic.c:440 [generic]print_mtrr_state =p "  %u base %0*X%05X000 mask %"
arch/x86/kernel/cpu/mtrr/generic.c:442 [generic]print_mtrr_state =p "  %u disabled\012"
arch/x86/kernel/cpu/mtrr/generic.c:445 [generic]print_mtrr_state =p "TOM2: %016llx aka %lldM\012"
arch/x86/kernel/cpu/mtrr/generic.c:367 [generic]print_fixed_last =p "  %05X-%05X %s\012"
arch/x86/kernel/cpu/microcode/core.c:743 [microcode]mc_device_add =_ "CPU%d added\012"
arch/x86/kernel/cpu/microcode/core.c:716 [microcode]microcode_init_cpu =_ "CPU%d updated upon ini"
arch/x86/kernel/cpu/microcode/core.c:762 [microcode]mc_device_remove =_ "CPU%d removed\012"
arch/x86/kernel/cpu/microcode/core.c:798 [microcode]mc_cpu_online =_ "CPU%d added\012"
arch/x86/kernel/cpu/microcode/core.c:694 [microcode]microcode_resume_cpu =_ "CPU%d updated upon r"
arch/x86/kernel/cpu/microcode/core.c:812 [microcode]mc_cpu_down_prep =_ "CPU%d removed\012"
arch/x86/kernel/cpu/microcode/intel.c:940 [microcode]generic_load_microcode =_ "CPU%d found a mat"
arch/x86/kernel/cpu/microcode/intel.c:985 [microcode]request_microcode_fw =_ "data file %s load f"
arch/x86/kernel/cpu/microcode/amd.c:128 [microcode]verify_equivalence_table =_ "Wrong microcode c"
arch/x86/kernel/cpu/microcode/amd.c:139 [microcode]verify_equivalence_table =_ "Truncated equival"
arch/x86/kernel/cpu/microcode/amd.c:95 [microcode]verify_container =_ "Truncated microcode contai"
arch/x86/kernel/cpu/microcode/amd.c:103 [microcode]verify_container =_ "Invalid magic value (0x%0"
arch/x86/kernel/cpu/microcode/amd.c:260 [microcode]verify_patch =_ "Patch of size %u truncated.\0"
arch/x86/kernel/cpu/microcode/amd.c:268 [microcode]verify_patch =_ "Per-family patch size mismatc"
arch/x86/kernel/cpu/microcode/amd.c:163 [microcode]__verify_patch_section =_ "Truncated patch sec"
arch/x86/kernel/cpu/microcode/amd.c:175 [microcode]__verify_patch_section =_ "Invalid type field "
arch/x86/kernel/cpu/microcode/amd.c:182 [microcode]__verify_patch_section =_ "Patch of size %u to"
arch/x86/kernel/cpu/microcode/amd.c:795 [microcode]verify_and_add_patch =_ "%s: Added patch_id: 0"
arch/x86/kernel/cpu/microcode/amd.c:905 [microcode]request_microcode_amd =_ "failed to load file "
arch/x86/kernel/acpi/boot.c:957 [boot]acpi_parse_fadt =_ "ACPI: no legacy devices present\012"
arch/x86/kernel/acpi/boot.c:964 [boot]acpi_parse_fadt =_ "ACPI: i8042 controller is absent\012"
arch/x86/kernel/acpi/boot.c:969 [boot]acpi_parse_fadt =_ "ACPI: not registering RTC platform devi"
arch/x86/kernel/acpi/boot.c:974 [boot]acpi_parse_fadt =_ "ACPI: probing for VGA not safe\012"
arch/x86/kernel/acpi/boot.c:1103 [boot]mp_config_acpi_legacy_irqs =_ "Bus #%d is ISA (nIRQs: %d)\"
arch/x86/kernel/smpboot.c:698 [smpboot]wakeup_secondary_cpu_via_nmi =_ "Waiting for send to finis"
arch/x86/kernel/smpboot.c:711 [smpboot]wakeup_secondary_cpu_via_nmi =_ "NMI sent\012"
arch/x86/kernel/smpboot.c:1083 [smpboot]native_cpu_up =_ "++++++++++++++++++++=_---CPU UP  %u\012"
arch/x86/kernel/smpboot.c:1096 [smpboot]native_cpu_up =_ "do_boot_cpu %d Already started\012"
arch/x86/kernel/smpboot.c:1359 [smpboot]native_smp_cpus_done =_ "Boot done\012"
arch/x86/kernel/smpboot.c:994 [smpboot]do_boot_cpu =_ "Setting warm reset code and vector.\012"
arch/x86/kernel/smpboot.c:189 [smpboot]smp_callin =_ "Stack at about %p\012"
arch/x86/kernel/smpboot.c:738 [smpboot]wakeup_secondary_cpu_via_init =_ "Asserting INIT\012"
arch/x86/kernel/smpboot.c:749 [smpboot]wakeup_secondary_cpu_via_init =_ "Waiting for send to fini"
arch/x86/kernel/smpboot.c:754 [smpboot]wakeup_secondary_cpu_via_init =_ "Deasserting INIT\012"
arch/x86/kernel/smpboot.c:760 [smpboot]wakeup_secondary_cpu_via_init =_ "Waiting for send to fini"
arch/x86/kernel/smpboot.c:779 [smpboot]wakeup_secondary_cpu_via_init =_ "#startup loops: %d\012"
arch/x86/kernel/smpboot.c:782 [smpboot]wakeup_secondary_cpu_via_init =_ "Sending STARTUP #%d\012"
arch/x86/kernel/smpboot.c:786 [smpboot]wakeup_secondary_cpu_via_init =_ "After apic_write\012"
